id,date,channel,customer_type,content,keyword_hint
001,2026-05-01,미팅메모,2차 협력사,최근 글로벌 고객사에서 Scope 3 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,Scope3
002,5월 2일,이메일,기타,"협력사 담당자와 상의한 결과, 탄소국경조정와 다른 프레임워크 데이터의 중복 입력을 줄여주는 기능이 필요합니다.",탄소국경조정
003,2026-05-02,미팅메모,기타,이번 주 GWP 인증서 구매 절차나 예상 비용을 추산하는 방법이 궁금합니다.,GWP
004,2026-05-03,이메일,OEM,"실무 담당자로서 말씀드리면, CSRD 데이터를 협력사로부터 일괄 수집하는 자동화 기능을 추가해주시면 좋겠습니다.",CSRD
005,2026-05-03,이메일,2차 협력사,CBAM 관련 데이터를 협력사로부터 받아야 하는데 표준 제출 양식이 있는지 궁금합니다.,CBAM
006,2026-05-03,이메일,1차 협력사,"실무 담당자로서 말씀드리면, PCF 관련 데이터를 협력사로부터 받아야 하는데 표준 제출 양식이 있는지 궁금합니다.",PCF
007,2026-05-03,이메일,OEM,"협력사 담당자와 상의한 결과, 온실가스 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.",온실가스
008,2026-05-03,채널톡,1차 협력사,GWP 산정 가이드 문서를 만들어 주시면 좋겠습니다.,GWP
009,5월 3일,채널톡,기타,최근 모바일에서도 IPCC 데이터를 확인할 수 있는 앱을 만들어 주시면 좋겠습니다.,IPCC
010,5월 3일,이메일,2차 협력사,이번 업데이트로 Scope 1 화면이 훨씬 편하게 바뀌어서 좋았습니다.,Scope1
011,5월 3일,채널톡,기타,"협력사 담당자와 상의한 결과, Scope 1 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.",Scope1
012,2026-05-03,이메일,기타,이번 주 담당자분이 Scope 2 관련 문의에 빠르게 답변해주셔서 정말 감사합니다.,Scope2
013,2026-05-03,이메일,OEM,저희 팀에서 확인해보니 SBTi 인증서 구매 절차나 예상 비용을 추산하는 방법이 궁금합니다.,SBTi
014,2026-05-04,이메일,1차 협력사,이번 주 대시보드에 ESG 추세를 비교하는 차트 기능이 필요합니다.,ESG
015,2026-05-04,채널톡,기타,최근 Scope 3 데이터를 입력했는데 저장이 안 됩니다. 벌써 3번째 같은 문제가 발생하고 있습니다.,Scope3
016,2026-05-05,이메일,기타,최근 IPCC 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,IPCC
017,2026-05-06,,2차 협력사,이용 중 Scope 2 처리 속도가 너무 느려 불편합니다. 수정해주세요.,Scope2
018,5월 6일,이메일,기타,카본링크 사용 중 탄소크레딧 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,탄소크레딧
019,2026-05-06,이메일,기타,"협력사 담당자와 상의한 결과, 이번 업데이트로 탄소크레딧 화면이 훨씬 편하게 바뀌어서 좋았습니다.",탄소크레딧
020,2026-05-07,미팅메모,1차 협력사,"실무 담당자로서 말씀드리면, 작년 대비 ESG 집계 오류가 크게 줄었습니다. 플랫폼 품질이 확실히 올라갔습니다.",ESG
021,2026-05-08,이메일,기타,"실무 담당자로서 말씀드리면, 이용 중 TCFD 처리 속도가 너무 느려 불편합니다. 수정해주세요.",TCFD
022,2026-05-08,,OEM,"협력사 담당자와 상의한 결과, 모바일에서도 이중중요성 데이터를 확인할 수 있는 앱을 만들어 주시면 좋겠습니다.",이중중요성
023,2026-05-09,이메일,기타,"실무 담당자로서 말씀드리면, ESG 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.",ESG
024,2026-05-10,이메일,1차 협력사,다시 문의드립니다. GWP 산정 가이드 문서를 만들어 주시면 좋겠습니다.,GWP
025,2026-05-11,이메일,1차 협력사,저희 팀에서 확인해보니 외부 컨설팅사에서 산정한 Scope 1 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.,Scope1
026,2026-05-12,채널톡,기타,"협력사 담당자와 상의한 결과, 외부 컨설팅사에서 산정한 ESG 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.",ESG
027,2026-05-13,이메일,기타,"실무 담당자로서 말씀드리면, Scope 2 분석 리포트 덕분에 어디서 줄일 수 있는지 파악했습니다. 감사합니다.",Scope2
028,5월 13일,미팅메모,1차 협력사,이번 주 CBAM 데이터를 협력사로부터 일괄 수집하는 자동화 기능을 추가해주시면 좋겠습니다.,CBAM
029,2026/05/13,이메일,기타,저희 팀에서 확인해보니 TCFD 보고서를 제출했는데 형식 오류로 반려됐습니다. 사전 검증 기능이 없어 시간이 낭비됐습니다.,TCFD
030,2026-05-14,이메일,기타,"실무 담당자로서 말씀드리면, 온보딩 과정에서 EU ETS 세팅을 친절하게 안내해주셔서 정말 만족스럽습니다.",EUETS
031,2026-05-15,채널톡,1차 협력사,"협력사 담당자와 상의한 결과, 이중중요성 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?",이중중요성
032,2026-05-16,이메일,기타,최근 IPCC 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,IPCC
033,2026-05-17,이메일,기타,최근 LCA 데이터를 협력사로부터 일괄 수집하는 자동화 기능을 추가해주시면 좋겠습니다.,LCA
034,2026-05-18,채널톡,기타,"협력사 담당자와 상의한 결과, CSRD 인증서 구매 절차나 예상 비용을 추산하는 방법이 궁금합니다.",CSRD
035,2026-05-19,,2차 협력사,다시 문의드립니다. ESG 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?,ESG
036,2026/05/19,이메일,2차 협력사,카본링크 사용 중 IPCC 관련 기능이 너무 제한적입니다. 실무에서 쓰기에 불편합니다.,IPCC
037,2026/05/19,채널톡,기타,최근 글로벌 고객사에서 TCFD 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,TCFD
038,2026-05-19,이메일,OEM,"실무 담당자로서 말씀드리면, 작년 대비 GWP 집계 오류가 크게 줄었습니다. 플랫폼 품질이 확실히 올라갔습니다.",GWP
039,2026/05/20,이메일,기타,저희 팀에서 확인해보니 이용 중 ISO 14064 처리 속도가 너무 느려 불편합니다. 수정해주세요.,ISO14064
040,2026-05-20,미팅메모,OEM,이번 주 Scope 1 보고서를 제출했는데 형식 오류로 반려됐습니다. 사전 검증 기능이 없어 시간이 낭비됐습니다.,Scope1
041,2026-05-20,채널톡,1차 협력사,"실무 담당자로서 말씀드리면, LCA 관련 기능이 너무 제한적입니다. 실무에서 쓰기에 불편합니다.",LCA
042,2026/05/20,이메일,OEM,"협력사 담당자와 상의한 결과, LCA 보고서를 제출했는데 형식 오류로 반려됐습니다. 사전 검증 기능이 없어 시간이 낭비됐습니다.",LCA
043,2026-05-20,미팅메모,1차 협력사,저희 팀에서 확인해보니 Scope 1 산정 가이드 문서를 만들어 주시면 좋겠습니다.,Scope1
044,2026-05-20,채널톡,기타,저희 팀에서 확인해보니 EU ETS 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,EUETS
045,5월 20일,이메일,기타,탄소내재량 관련 신고 기한이 정확히 언제인지 확인하고 싶습니다.,탄소내재량
046,2026/05/21,미팅메모,OEM,SBTi 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?,SBTi
047,2026-05-22,채널톡,기타,저희 팀에서 확인해보니 탄소국경조정 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,탄소국경조정
048,2026-05-22,이메일,기타,"실무 담당자로서 말씀드리면, 외부 컨설팅사에서 산정한 EU ETS 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.",EUETS
049,2026-05-22,미팅메모,1차 협력사,카본링크 사용 중 CBAM 데이터를 입력했는데 저장이 안 됩니다. 벌써 2번째 같은 문제가 발생하고 있습니다.,CBAM
050,2026-05-23,미팅메모,2차 협력사,최근 탄소국경조정 관련 신고 기한이 정확히 언제인지 확인하고 싶습니다.,탄소국경조정
051,2026-05-24,이메일,1차 협력사,이번 업데이트로 CBAM 화면이 훨씬 편하게 바뀌어서 좋았습니다.,CBAM
052,2026-05-24,채널톡,OEM,"실무 담당자로서 말씀드리면, CSRD 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?",CSRD
053,2026/05/24,이메일,1차 협력사,"협력사 담당자와 상의한 결과, Scope 1 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?",Scope1
054,2026-05-24,이메일,1차 협력사,"실무 담당자로서 말씀드리면, Scope 2 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?",Scope2
055,2026/05/25,채널톡,기타,저희 팀에서 확인해보니 탄소크레딧 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,탄소크레딧
056,2026/05/26,이메일,기타,저희 팀에서 확인해보니 API 연동이 자꾸 끊깁니다. ISO 14064 데이터가 누락됩니다. 빨리 해결해주세요.,ISO14064
057,2026-05-27,이메일,기타,"협력사 담당자와 상의한 결과, IPCC 데이터를 협력사로부터 일괄 수집하는 자동화 기능을 추가해주시면 좋겠습니다.",IPCC
058,2026-05-27,채널톡,2차 협력사,카본링크 사용 중 IPCC 관련 데이터를 협력사로부터 받아야 하는데 표준 제출 양식이 있는지 궁금합니다.,IPCC
059,2026/05/28,이메일,기타,GWP 관련 기능이 너무 제한적입니다. 실무에서 쓰기에 불편합니다.,GWP
060,2026-05-28,채널톡,2차 협력사,저희 팀에서 확인해보니 ISO 14064 인증서 구매 절차나 예상 비용을 추산하는 방법이 궁금합니다.,ISO14064
061,2026-05-29,이메일,1차 협력사,이번 주 CBAM 분석 리포트 덕분에 어디서 줄일 수 있는지 파악했습니다. 감사합니다.,CBAM
062,2026-05-29,이메일,1차 협력사,EU ETS 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,EUETS
063,2026-05-29,이메일,1차 협력사,이번 주 모바일에서도 PCF 데이터를 확인할 수 있는 앱을 만들어 주시면 좋겠습니다.,PCF
064,2026-05-29,이메일,기타,"실무 담당자로서 말씀드리면, IPCC 보고서 작성을 지원해주신 덕분에 이사회 보고를 무사히 마쳤습니다. 감사합니다.",IPCC
065,2026-05-30,이메일,기타,저희 팀에서 확인해보니 IPCC 보고서를 제출했는데 형식 오류로 반려됐습니다. 사전 검증 기능이 없어 시간이 낭비됐습니다.,IPCC
066,2026-05-30,채널톡,기타,최근 탄소크레딧 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,탄소크레딧
067,5월 30일,이메일,기타,최근 탄소내재량 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,탄소내재량
068,2026-05-31,이메일,OEM,"협력사 담당자와 상의한 결과, 담당자분이 Scope 3 관련 문의에 빠르게 답변해주셔서 정말 감사합니다.",Scope3
069,2026-05-31,,1차 협력사,저희 팀에서 확인해보니 ESG 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,ESG
070,5월 31일,채널톡,기타,GWP 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,GWP
071,2026/06/01,,1차 협력사,이번 주 탄소국경조정 데이터를 협력사로부터 일괄 수집하는 자동화 기능을 추가해주시면 좋겠습니다.,탄소국경조정
072,2026-06-01,이메일,기타,최근 TCFD 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?,TCFD
073,2026-06-02,이메일,2차 협력사,다시 문의드립니다. 글로벌 고객사에서 CSRD 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,CSRD
074,6월 3일,미팅메모,2차 협력사,ISO 14064 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?,ISO14064
075,2026-06-03,이메일,기타,"협력사 담당자와 상의한 결과, 외부 컨설팅사에서 산정한 CBAM 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.",CBAM
076,2026-06-03,채널톡,기타,카본링크 사용 중 SBTi 관련 신고 기한이 정확히 언제인지 확인하고 싶습니다.,SBTi
077,2026/06/04,이메일,2차 협력사,글로벌 고객사에서 이중중요성 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,이중중요성
078,6월 4일,미팅메모,OEM,다시 문의드립니다. CSRD 보고서 작성을 지원해주신 덕분에 이사회 보고를 무사히 마쳤습니다. 감사합니다.,CSRD
079,2026-06-05,이메일,기타,카본링크 사용 중 이번 업데이트로 PCF 화면이 훨씬 편하게 바뀌어서 좋았습니다.,PCF
080,6월 6일,이메일,기타,최근 대시보드에 GWP 추세를 비교하는 차트 기능이 필요합니다.,GWP
081,2026/06/06,채널톡,기타,"협력사 담당자와 상의한 결과, CBAM 보고서 작성을 지원해주신 덕분에 이사회 보고를 무사히 마쳤습니다. 감사합니다.",CBAM
082,2026-06-06,채널톡,OEM,"협력사 담당자와 상의한 결과, 글로벌 고객사에서 TCFD 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?",TCFD
083,2026/06/06,채널톡,OEM,다시 문의드립니다. Scope 2 관련 데이터를 협력사로부터 받아야 하는데 표준 제출 양식이 있는지 궁금합니다.,Scope2
084,2026-06-06,채널톡,기타,카본링크 사용 중 ESG 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,ESG
085,2026/06/06,이메일,OEM,"실무 담당자로서 말씀드리면, 온실가스 보고서 작성을 지원해주신 덕분에 이사회 보고를 무사히 마쳤습니다. 감사합니다.",온실가스
086,2026-06-06,이메일,기타,저희 팀에서 확인해보니 ESG 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,ESG
087,2026-06-06,이메일,기타,이번 주 IPCC 산정 가이드 문서를 만들어 주시면 좋겠습니다.,IPCC
088,2026-06-06,이메일,기타,"실무 담당자로서 말씀드리면, 이번 업데이트로 ISO 14064 화면이 훨씬 편하게 바뀌어서 좋았습니다.",ISO14064
089,2026-06-06,,기타,"실무 담당자로서 말씀드리면, 글로벌 고객사에서 Scope 2 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?",Scope2
090,2026-06-07,채널톡,1차 협력사,Scope 2 데이터 입력 화면이 너무 불편합니다. 더 간단한 입력 방식을 제공해주시길 요청합니다.,"Scope2,기능개선요청"
091,2026-06-07,이메일,1차 협력사,카본링크 사용 중 담당자분이 SBTi 관련 문의에 빠르게 답변해주셔서 정말 감사합니다.,SBTi
092,2026-06-07,채널톡,기타,"실무 담당자로서 말씀드리면, Scope 2 데이터를 입력했는데 저장이 안 됩니다. 벌써 2번째 같은 문제가 발생하고 있습니다.",Scope2
093,2026-06-07,이메일,1차 협력사,저희 팀에서 확인해보니 외부 컨설팅사에서 산정한 EU ETS 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.,EUETS
094,2026/06/07,채널톡,1차 협력사,이번 주 글로벌 고객사에서 LCA 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,LCA
095,2026/06/07,채널톡,기타,"실무 담당자로서 말씀드리면, 외부 컨설팅사에서 산정한 Scope 3 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.",Scope3
096,2026-06-07,이메일,1차 협력사,최근 GWP 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,GWP
097,2026-06-08,이메일,1차 협력사,이번 주 API 연동이 자꾸 끊깁니다. 녹색채권 데이터가 누락됩니다. 빨리 해결해주세요.,녹색채권
098,2026/06/08,채널톡,2차 협력사,저희 팀에서 확인해보니 카본링크 도입 이후 탄소국경조정 관련 업무 시간이 절반 이상 줄었습니다. 감사합니다.,탄소국경조정
